TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz: -54, FN:        1, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0  4  0 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      172, T3:19, off= 5, ncc:1, bscc:7, info: a1 ba 25 45 df 3e c7 7e 42 49 20 a6 fa  8 e5 33 a1 1b e1 78 eb bf b5 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      174, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 49  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      178, T3:25, off= 5, ncc:1, bscc:7, info: f1 a5 26 20  d 2e  6 cc 59 3c 71 91 d3 f4  6 94 24 c6 65 d6 7e d7 4a 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      182, T3:29, off= 5, ncc:1, bscc:7, info: f9 b9 24 c1 c0 e1 d2 9a 69 ea 21 b4 3b  3 ac c5  1 63 e6 aa 30 f9 78 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      184, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0  9  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      188, T3:35, off= 5, ncc:1, bscc:7, info: d9 a0 9f b7 22 50  8 99 d4 8b 10  2 92 ff 4f 6a 8f ef 64 b4 ed 96  2 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      192, T3:39, off= 5, ncc:1, bscc:7, info: d3 81 dd 5e ec bb 54 cf 60 1c 88 72 18 b9 65 3e 3c 5e b1 c8 ae c6 76 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      194, T3:41, off= 5, ncc:1, bscc:7, info: 3c  0 32  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      198, T3:45, off= 5, ncc:1, bscc:7, info: 22  2 87 8a 8a 29 7e 8e 8e 7f bd 29 2d 4c f5 cc 82 c0 27 d2 3b aa 70 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      202, T3:49, off= 9, ncc:1, bscc:7, info: 23  3 c7 67 c3 e8 43 77 1a 9b ba bd a5 60 59 86 2c 86 97 77  0 8e af 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      205, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0 5c  0 
TAG: state:CCCH_SCAN, itype: BCCH    dB:-33, Hz:  -1, FN:      209, T3: 5, off= 5, ncc:1, bscc:7, info: 49  6 1b  0  9  0 f1 10  0  1 c1  3  0 21 d3  7  8  0  0 2a 2b 2b 2b 
TAG: state:FCCH_SCAN, itype: BCCHEXT dB:-33, Hz:  -1, FN:      213, T3: 9, off= 5, ncc:1, bscc:7, info: 12 2b 63 20 13 46 ef 11 ac 80 b2 58 71 b6 e7 b8 e6 ed 59 1e 65 b9 18 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      215, T3:11, off= 5, ncc:1, bscc:7, info: 3c  0 1c  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      219, T3:15, off= 5, ncc:1, bscc:7, info: 47 12 c8 1e c5 57 21 ba 39 cd f3 4f d5 e2 24 96 2b c8 63 70 b8 d3 c2 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      223, T3:19, off= 5, ncc:1, bscc:7, info: 44 1b ea bc 1d 9c 63 e4  4 38 b1 7e 10 85 8f 40 ca d4  8 5c fa 46 f2 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      225, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 45  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      229, T3:25, off= 5, ncc:1, bscc:7, info: 5f 10 d9 9a eb 28 a5 ff 13 69 dc 48 a5 e9 68 ac  0 f1 84 92 27 ac cd 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      233, T3:29, off= 5, ncc:1, bscc:7, info: 6c 70 d3 3b a0 d2  5 b1 1f 9f 1c 2c 4f ab 46 fa 71 f8 17 fe e8  0 ff 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      235, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0  5  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      239, T3:35, off= 5, ncc:1, bscc:7, info: 35 39 60  c 2f 72 ea 2b da 5a fd 92 66 56 b1 45 e0 cc 95 d6 be 6f  d 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      243, T3:39, off= 5, ncc:1, bscc:7, info: 30 54  0  5 86 8f  2 75 76 6c  5 ba 2e 30  b  4 d8 81  5 ae 61 3d 73 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      245, T3:41, off= 5, ncc:1, bscc:7, info: 3c  0 2e  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      249, T3:45, off= 5, ncc:1, bscc:7, info: 20  0 29 4f 2b 92 10 ae cc 5c d1 f9 74 94  3 6d f8 fb 5b bd 8a b4 75 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      253, T3:49, off= 9, ncc:1, bscc:7, info: 21  1 2a 7f 39 91 28 15 4e  0 fc cd 2c f8 ef  b c8 fd f1 b8 70 c8 be 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      256, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0 58  0 
TAG: state:CCCH_SCAN, itype: BCCH    dB:-33, Hz:  -1, FN:      260, T3: 5, off= 5, ncc:1, bscc:7, info: 49  6 1b  0  9  0 f1 10  0  1 c1  3  0 21 d3  7  8  0  0 2a 2b 2b 2b 
TAG: state:FCCH_SCAN, itype: BCCHEXT dB:-33, Hz:  -1, FN:      264, T3: 9, off= 5, ncc:1, bscc:7, info: f6 e8 98 9e 7c 64 21 fe 6a d1 77  2  7 1b 9f 86 a5 ca 2d 70 3c 40  f 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      266, T3:11, off= 5, ncc:1, bscc:7, info: 3c  0 18  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      270, T3:15, off= 5, ncc:1, bscc:7, info: aa b3 36 e7 ae 75 f5 85 7f b8 1e bc 23 7f 7a a9 46 c7 82 2e a9 2b 7d 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      274, T3:19, off= 5, ncc:1, bscc:7, info: ea c6 17 86 63 e8 25 9e 70 6c de d0 64 15 d2 79 96 a3 38 92  7 3f 42 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      276, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 41  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      280, T3:25, off= 5, ncc:1, bscc:7, info: a2 db 24 71 a3  b eb 41 35 99 1f fa 41 40 90 47 eb be f1 ec 14 45 b0 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      284, T3:29, off= 5, ncc:1, bscc:7, info: 80 e5 6e  0 cf b2 63 4b 11 cf d3 d6 a9 26 1a 81 3f 9f e7 d0 db 73 c0 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      286, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0  1  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      290, T3:35, off= 5, ncc:1, bscc:7, info: 9a fc 9d f7 5d 57 ad 74 9c 2a b0 e8 10 db d9 76 90 93 64 9a 9f 14 3e 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      294, T3:39, off= 5, ncc:1, bscc:7, info: 9c dd ff b6 e0 ec ed 1e 98 3c f8  8 d8 1d db 33 95 a6 e4 d2 50 d4 4c 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      296, T3:41, off= 5, ncc:1, bscc:7, info: 3c  0 2a  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      300, T3:45, off= 5, ncc:1, bscc:7, info: 22  2 c4 d4 d4 48 7a 8c 28 a4 97 cd 99 2e 75 f1 10 8c 39 8b 6f da  5 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      304, T3:49, off= 9, ncc:1, bscc:7, info: 23  3 c4 da c4 2a 5c 36 c8 7a b6 18 41 4a 9a b2 b2 de a8 81 d1 b6 cf 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      307, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0 54  0 
TAG: state:CCCH_SCAN, itype: BCCH    dB:-33, Hz:  -1, FN:      311, T3: 5, off= 5, ncc:1, bscc:7, info: 49  6 1b  0  9  0 f1 10  0  1 c1  3  0 21 d3  7  8  0  0 2a 2b 2b 2b 
TAG: state:FCCH_SCAN, itype: BCCHEXT dB:-33, Hz:  -1, FN:      315, T3: 9, off= 5, ncc:1, bscc:7, info: 59 ed 6d e5 3a 14 45 ec 30 89 1b 9a f3  2 f1 fd d9 95 dc 2c 8d b3 a8 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      317, T3:11, off= 5, ncc:1, bscc:7, info: 3c  0 14  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      321, T3:15, off= 5, ncc:1, bscc:7, info:  5 6a cf 18 c2 51 9b 7f 79 68 4b 24 3c d6 82 8a  4 20 73 c8 da 52 5a 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      325, T3:19, off= 5, ncc:1, bscc:7, info: 17 47 ec 79  7 ca 63 29 7a 3c 12  0 92 b8 38 4e 70 ac d9 ec 15 d4 6d 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      327, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 3d  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      331, T3:25, off= 5, ncc:1, bscc:7, info: 6f 4e d6 8f 8d 2b 9d 2b f2 c8 72 32 37 cd ca 70 b7  d 51 8e 51 be 97 
